KP,Location,D_o,h,sigma_y,t_corr,f_tol,E,v,f_0
1302,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1303,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1304,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1305,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1306,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1307,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1308,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1309,seabed,0.2,106,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1310,seabed,0.2,101,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1311,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1312,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1313,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1314,seabed,0.2,108,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1315,seabed,0.2,112,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1316,seabed,0.2,101,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1317,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1318,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1319,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1320,seabed,0.2,145,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1321,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1322,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1323,seabed,0.2,127,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1324,seabed,0.2,122,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1325,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1326,seabed,0.2,106,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1327,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1328,seabed,0.2,104,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1329,seabed,0.2,137,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1330,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1331,seabed,0.2,137,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1332,seabed,0.2,138,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1333,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1334,seabed,0.2,141,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1335,seabed,0.2,136,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1336,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1337,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1338,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1339,seabed,0.2,138,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1340,seabed,0.2,100,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1341,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1342,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1343,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1344,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1345,seabed,0.2,108,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1346,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1347,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1348,seabed,0.2,112,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1349,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1350,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1351,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1352,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1353,seabed,0.2,94,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1354,seabed,0.2,101,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1355,seabed,0.2,112,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1356,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1357,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1358,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1359,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1360,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1361,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1362,seabed,0.2,109,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1363,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1364,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1365,seabed,0.2,101,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1366,seabed,0.2,104,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1367,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1368,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1369,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1370,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1371,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1372,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1373,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1374,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1375,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1376,seabed,0.2,142,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1377,seabed,0.2,98,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1378,seabed,0.2,106,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1379,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1380,seabed,0.2,81,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1381,seabed,0.2,109,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1382,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1383,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1384,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1385,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1386,seabed,0.2,81,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1387,seabed,0.2,87,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1388,seabed,0.2,98,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1389,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1390,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1391,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1392,seabed,0.2,133,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1393,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1394,seabed,0.2,141,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1395,seabed,0.2,123,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1396,seabed,0.2,128,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1397,seabed,0.2,81,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1398,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1399,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1400,seabed,0.2,100,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1401,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1402,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1403,seabed,0.2,116,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1404,seabed,0.2,123,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1405,seabed,0.2,113,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1406,seabed,0.2,86,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1407,seabed,0.2,143,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1408,seabed,0.2,141,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1409,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1410,seabed,0.2,106,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1411,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1412,seabed,0.2,86,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1413,seabed,0.2,141,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1414,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1415,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1416,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1417,seabed,0.2,133,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1418,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1419,seabed,0.2,131,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1420,seabed,0.2,100,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1421,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1422,seabed,0.2,93,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1423,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1424,seabed,0.2,101,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1425,seabed,0.2,114,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1426,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1427,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1428,seabed,0.2,128,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1429,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1430,seabed,0.2,86,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1431,seabed,0.2,105,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1432,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1433,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1434,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1435,seabed,0.2,137,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1436,seabed,0.2,127,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1437,seabed,0.2,142,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1438,seabed,0.2,128,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1439,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1440,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1441,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1442,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1443,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1444,seabed,0.2,112,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1445,seabed,0.2,133,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1446,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1447,seabed,0.2,115,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1448,seabed,0.2,115,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1449,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1450,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1451,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1452,seabed,0.2,137,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1453,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1454,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1455,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1456,seabed,0.2,94,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1457,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1458,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1459,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1460,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1461,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1462,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1463,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1464,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1465,seabed,0.2,114,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1466,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1467,seabed,0.2,138,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1468,seabed,0.2,94,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1469,seabed,0.2,106,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1470,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1471,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1472,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1473,seabed,0.2,137,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1474,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1475,seabed,0.2,138,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1476,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1477,seabed,0.2,122,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1478,seabed,0.2,105,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1479,seabed,0.2,114,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1480,seabed,0.2,143,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1481,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1482,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1483,seabed,0.2,141,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1484,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1485,seabed,0.2,85,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1486,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1487,seabed,0.2,119,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1488,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1489,seabed,0.2,123,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1490,seabed,0.2,80,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1491,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1492,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1493,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1494,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1495,seabed,0.2,113,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1496,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1497,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1498,seabed,0.2,127,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1499,seabed,0.2,124,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1500,seabed,0.2,115,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1501,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1502,seabed,0.2,114,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1503,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1504,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1505,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1506,seabed,0.2,101,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1507,seabed,0.2,113,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1508,seabed,0.2,119,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1509,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1510,seabed,0.2,95,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1511,seabed,0.2,110,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1512,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1513,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1514,seabed,0.2,126,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1515,seabed,0.2,109,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1516,seabed,0.2,136,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1517,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1518,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1519,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1520,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1521,seabed,0.2,142,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1522,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1523,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1524,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1525,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1526,seabed,0.2,117,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1527,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1528,seabed,0.2,142,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1529,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1530,seabed,0.2,87,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1531,seabed,0.2,128,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1532,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1533,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1534,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1535,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1536,seabed,0.2,132,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1537,seabed,0.2,98,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1538,seabed,0.2,115,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1539,seabed,0.2,116,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1540,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1541,seabed,0.2,132,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1542,seabed,0.2,83,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1543,seabed,0.2,116,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1544,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1545,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1546,seabed,0.2,92,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1547,seabed,0.2,112,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1548,seabed,0.2,137,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1549,seabed,0.2,100,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1550,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1551,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1552,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1553,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1554,seabed,0.2,124,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1555,seabed,0.2,93,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1556,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1557,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1558,seabed,0.2,105,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1559,seabed,0.2,108,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1560,seabed,0.2,137,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1561,seabed,0.2,97,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1562,seabed,0.2,103,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1563,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1564,seabed,0.2,111,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1565,seabed,0.2,140,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1566,seabed,0.2,112,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1567,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1568,seabed,0.2,136,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1569,seabed,0.2,91,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1570,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1571,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1572,seabed,0.2,94,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1573,seabed,0.2,93,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1574,seabed,0.2,107,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1575,seabed,0.2,113,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1576,seabed,0.2,96,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1577,seabed,0.2,144,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1578,seabed,0.2,80,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1579,seabed,0.2,131,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1580,seabed,0.2,87,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1581,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1582,seabed,0.2,130,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1583,seabed,0.2,147,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1584,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1585,seabed,0.2,119,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1586,seabed,0.2,115,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1587,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1588,seabed,0.2,131,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1589,seabed,0.2,136,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1590,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1591,seabed,0.2,146,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1592,seabed,0.2,105,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1593,seabed,0.2,121,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1594,seabed,0.2,84,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1595,seabed,0.2,142,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1596,seabed,0.2,102,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1597,seabed,0.2,88,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1598,seabed,0.2,132,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1599,seabed,0.2,150,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1600,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1601,seabed,0.2,99,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1602,seabed,0.2,130,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1603,seabed,0.2,125,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1604,seabed,0.2,139,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1605,seabed,0.2,118,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1606,seabed,0.2,108,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1607,seabed,0.2,82,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1608,seabed,0.2,89,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1609,seabed,0.2,80,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1610,seabed,0.2,149,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1611,seabed,0.2,120,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1612,seabed,0.2,148,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1613,seabed,0.2,101,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1614,seabed,0.2,132,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1615,seabed,0.2,129,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1616,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1617,seabed,0.2,131,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1618,seabed,0.2,135,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1619,seabed,0.2,106,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1620,seabed,0.2,136,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1621,seabed,0.2,86,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1622,seabed,0.2,80,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1623,seabed,0.2,136,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1624,seabed,0.2,141,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
1625,seabed,0.2,90,5.00E+08,0.001,0.125,2.07E+11,0.3,0.025
